Index,Query,LLM Output,call_order,raw_args
1EORDK,고정 공기 청정 가동 시작해줘 그리고 풍속 약풍으로 조정해줘,<function_PG>();<function_NK>(speed=1)<end>,0,
1GONVP,고정 공기 청정 가동 시작해줘 공간별 누적 공기질 정보 연동 옵션을 활성화해주실래요,"<function_PG>();<function_BP>(enable=0, type=1)<end>",0,
1HPAMB,고정 공기 청정 실행해줘 그러고 나서 유브이 살균 엘이디 기능 켜져 있나요,<function_PG>();<function_NN>(get=True)<end>,0,
1IIJEQ,고정 청정 온 이어서 스캐닝 청정 시작하세요,<function_PG>();<function_IH>(scan=True)<end>,0,
1IZFOD,고정 공기 청정 가동 시작해줘 나무 현재 상태 확인해줘,<function_PG>();<function_QT>(get=True)<end>,0,
1JDDTJ,청정 켜봐 이어서 실시간 공기질 모니터링 보여주세요,"<function_PG>();<function_IO>(timeframe=0, location=""0"")<end>",0,
1KQLAS,고정 청정 온 그러고 나서 엘이디를 팔십프로로 바꿔줘,<function_PG>();<function_WN>(brightness=4)<end>,0,
1LYUFG,청정 켜봐 다음으로 풍속 강풍으로 조정해줘,<function_PG>();<function_NK>(speed=3)<end>,0,
1MIQHL,고정 청정 온 이어서 대기화면이 실내 공기질 테마인가요,<function_PG>();<function_HG>(get=True)<end>,0,
1NAVMX,청정 켜봐 또 공간별 누적 대기질 정보 연동 작동 중인가요,<function_PG>();<function_BP>(get=True)<end>,0,
1NDFQY,고정 공기 청정 실행해줘 또 음소거 상태 알려줘,<function_PG>();<function_MV>(get=True)<end>,0,
1NQETM,고정 청정 온 그 후에 밝기를 일로 조정해줘,<function_PG>();<function_WN>(brightness=1)<end>,0,
1NTZAN,고정 공청 기능 켜줘 그리고 혹시 에이아이 모드 동시에 꺼주실 수 있나요,"<function_PG>();<function_BP>(enable=1, type=2)<end>",0,
1OMGFL,고정 청정 온 다음으로 혈압 상태를 체크해주실래요,<function_PG>();<function_GV>()<end>,0,
1QIHEA,고정 공기 청정 실행해줘 그 후에 듣기 기능 활성화됐나요,<function_PG>();<function_QT>(get=True)<end>,0,
1QQRTQ,고정 청정 온 지금 프라이버시 모드 상태가 어떻게 돼,<function_PG>();<function_GN>(get=True)<end>,0,
1SLHZC,고정 공기 청정 가동 시작해줘 그 후에 주말 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=2, location=""0"")<end>",0,
1TSBLQ,고정 청정 온 또 샌프란시스코 대기질 지수가 몇인지 알려줘,"<function_PG>();<function_IO>(timeframe=0, location=샌프란시스코)<end>",0,
1VHLQG,고정 공청 기능 켜줘 이어서 미디음을 제일 낮게 설정해 줘,<function_PG>();<function_ZV>(volume=0)<end>,0,
1VJZIG,고정 공기 청정 실행해줘 그리고 토요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=8, location=""0"")<end>",0,
1XXCMG,고정 청정 온 그리고 프라이버시 기능 꺼줘,<function_PG>();<function_GN>(enable=False)<end>,0,
1YDQNW,고정 공기 청정 실행해줘 그러고 나서 음량을 20퍼센트로 올려줘,<function_PG>();<function_ZV>(volume=1)<end>,0,
1YEGLO,고정 공기 청정 실행해줘 음성 인식 기능 켜줘,<function_PG>();<function_QT>(enable=True)<end>,0,
1YOSWB,고정 공청 기능 켜줘 또 토요일 광진구 대기질을 화면에 보여줘,"<function_PG>();<function_IO>(timeframe=8, location=광진구)<end>",0,
1YZFFJ,고정 공기 청정 가동 시작해줘 그리고 음소거 상태 알려줘,<function_PG>();<function_MV>(get=True)<end>,0,
1ZHEZT,고정 공기 청정 가동 시작해줘 다음으로 풍속 터보로 조정해줘,<function_PG>();<function_NK>(speed=4)<end>,0,
2AAUWC,고정 공청 기능 켜줘 그리고 오류 히스토리 확인해줘,<function_PG>();<function_XO>()<end>,0,
2AERYM,고정 공기 청정 가동 시작해줘 그 다음에 엘이디 눈 밝기를 백퍼로 바꿔줘,<function_PG>();<function_WN>(brightness=5)<end>,0,
2AJZHV,고정 공기 청정 가동 시작해줘 그리고 에이아이 모드에서 모두 종료할 수 있어,"<function_PG>();<function_BP>(enable=1, type=2)<end>",0,
2BPGCT,청정 켜봐 다음으로 월요일 공기질 예보를 화면에 보여줘,"<function_PG>();<function_IO>(timeframe=3, location=""0"")<end>",0,
2EGZUB,고정 공기 청정 실행해줘 그 다음에 감지 감도를 낮게 설정해줘,<function_PG>();<function_QD>(type=0)<end>,0,
2EJSIT,고정 공청 기능 켜줘 다음으로 공간별 누적 공기질 정보 연동 옵션을 비활성화해주실래요,"<function_PG>();<function_BP>(enable=1, type=1)<end>",0,
2FDOAF,고정 공기 청정 실행해줘 그 다음에 엘이디 눈 밝기 몇 퍼인지 말해줄래,<function_PG>();<function_WN>(get=True)<end>,0,
2HHRJW,고정 청정 온 그리고 엘이디 눈 조명을 4로 맞할 수 있니,<function_PG>();<function_WN>(brightness=4)<end>,0,
2HZQTL,고정 공청 기능 켜줘 그 후에 화요일 홍콩 날씨 어때,"<function_PG>();<function_MO>(timeframe=4, location=홍콩)<end>",0,
2IYUPE,고정 공기 청정 실행해줘 그러고 나서 팔로미,<function_PG>();<function_CK>()<end>,0,
2MNIRU,고정 공청 기능 켜줘 팬 풍냥 강풍 세기로 해줘,<function_PG>();<function_NK>(speed=3)<end>,0,
2NJOYX,고정 공청 기능 켜줘 다음으로 주말 파리의 공기질 예보를 보여줘,"<function_PG>();<function_IO>(timeframe=2, location=파리)<end>",0,
2NSRPE,고정 청정 온 목요일 여기에 공기가 나쁠까,"<function_PG>();<function_IO>(timeframe=6, location=""0"")<end>",0,
2OHPOR,고정 공기 청정 가동 시작해줘 그리고 프라이버시 기능 켜져있나요,<function_PG>();<function_GN>(get=True)<end>,0,
2OPXJC,고정 공청 기능 켜줘 그러고 나서 터치음을 사십퍼로 올려줘,<function_PG>();<function_ZV>(volume=2)<end>,0,
2OPYEW,고정 청정 온 그리고 금요일 공기질 상태 알려줘,"<function_PG>();<function_IO>(timeframe=7, location=""0"")<end>",0,
2PDLTR,고정 공청 기능 켜줘 그러고 나서 나이트 모드 비활성화해줘,<function_PG>();<function_BS>(enable=False)<end>,0,
2PDTLB,고정 공청 기능 켜줘 그리고 월요일 나이로비 대기질을 화면에 보여줘,"<function_PG>();<function_IO>(timeframe=3, location=나이로비)<end>",0,
2PNVNI,청정 켜봐 그 다음에 음소거 상태를 만들어주시겠습니까,<function_PG>();<function_MV>(mute=True)<end>,0,
2PWBLM,고정 공청 기능 켜줘 다음으로 공기청정 작동 중인가요,<function_PG>();<function_ID>(get=True)<end>,0,
2QNKWU,고정 공기 청정 가동 시작해줘 그리고 외부 공기질 데이터 연계 기능을 활성화할 수 있어,"<function_PG>();<function_BP>(enable=0, type=0)<end>",0,
2QNXOC,청정 켜봐 다음으로 터치음을 팔십퍼로 설정해줘,<function_PG>();<function_ZV>(volume=4)<end>,0,
2RHDUT,고정 공기 청정 가동 시작해줘 다음으로 터보 바람 세기로 해줘,<function_PG>();<function_NK>(speed=4)<end>,0,
2VYPCI,고정 청정 온 그 후에 온도를 섭씨로 변경할 수 있어,<function_PG>();<function_EW>(type=0)<end>,0,
2VYSIX,고정 청정 온 그 후에 가든으로 가서 청정해 줘,<function_PG>();<function_FF>(position=가든)<end>,0,
2WTFMP,고정 공기 청정 실행해줘 풍속 터보로 조정해줘,<function_PG>();<function_NK>(speed=4)<end>,0,
2WYXBZ,청정 켜봐 기본 테마로 대기화면 설정해주세요,<function_PG>();<function_HG>(theme=0)<end>,0,
2XAQDL,고정 공청 기능 켜줘 이어서 매너모드로 설정해주세요,<function_PG>();<function_ZX>(enable=True)<end>,0,
2XAVXL,청정 켜봐 그리고 공간별 누적 대기질 정보 연동 작동 중인가요,<function_PG>();<function_BP>(get=True)<end>,0,
2XXMAC,고정 청정 온 이어서 청정 결과 미세먼지 농도 알려줘,<function_PG>();<function_CE>()<end>,0,
2ZLFKL,충전하러 복귀 그리고 고정 공기 청정 가동 시작해줘,<function_KI>();<function_PG>()<end>,1,
2ZPKFZ,고정 공기 청정 실행해줘 테마를 상세 공기질로 변경해주실래요,<function_PG>();<function_HG>(theme=2)<end>,0,
3AZZOB,고정 공기 청정 가동 시작해줘 이어서 월요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=3, location=""0"")<end>",0,
3CAHPK,고정 공기 청정 실행해줘 그리고 지금 엘이디 아이의 밝기가 어떻게 돼,<function_PG>();<function_WN>(get=True)<end>,0,
3DLRHK,고정 공기 청정 실행해줘 그 다음에 주말 베이징 미세먼지 어때,"<function_PG>();<function_IO>(timeframe=2, location=베이징)<end>",0,
3EPLZX,고정 공청 기능 켜줘 그리고 내일 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=1, location=""0"")<end>",0,
3FBXAM,고정 공기 청정 실행해줘 그리고 팬 풍량 뭐야,<function_PG>();<function_NK>(get=True)<end>,0,
3GRKFZ,청정 켜봐 이어서 티티에스 볼륨을 사십프로로 바꿔줘,<function_PG>();<function_ZV>(volume=2)<end>,0,
3HFLEJ,청정 켜봐 그리고 버튼음을 최소 단계로 해줘,<function_PG>();<function_ZV>(volume=0)<end>,0,
3IWDBZ,고정 청정 온 그 다음에 판교 공기질 상태를 보여줘,"<function_PG>();<function_IO>(timeframe=0, location=판교)<end>",0,
3IXDIG,고정 공기 청정 가동 시작해줘 그리고 언어를 미국말로 바꿔줘,<function_PG>();<function_HS>(type=2)<end>,0,
3IYQHS,청정 켜봐 그 후에 금요일 나폴리 공기질 걱정해야 할까,"<function_PG>();<function_IO>(timeframe=7, location=나폴리)<end>",0,
3JORPX,고정 공청 기능 켜줘 그리고 화요일 여기에 공기가 나쁠까,"<function_PG>();<function_IO>(timeframe=4, location=""0"")<end>",0,
3KOITL,청정 켜봐 또 토요일 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=8, location=""0"")<end>",0,
3LBEEM,고정 공기 청정 실행해줘 그리고 내일 도쿄의 공기질 예보를 보여줘,"<function_PG>();<function_IO>(timeframe=1, location=도쿄)<end>",0,
3MJDOL,고정 공청 기능 켜줘 그러고 나서 나무 설정 비활성화해줘,<function_PG>();<function_QT>(enable=False)<end>,0,
3MMYQL,청정 켜봐 그리고 엘이디 아이 화면 밝기 가장 밝게 켜줘,<function_PG>();<function_WN>(brightness=5)<end>,0,
3NRHOI,고정 청정 온 이어서 감지 감도를 보통으로 설정해줘,<function_PG>();<function_QD>(type=1)<end>,0,
3PWALB,청정 켜봐 그러고 나서 화요일 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=4, location=""0"")<end>",0,
3QMEGF,고정 청정 온 수요일 두바이 TVOC 농도는 얼마야,"<function_PG>();<function_IO>(timeframe=5, location=두바이)<end>",0,
3QYKOC,고정 청정 온 그 후에 일요일 여기에 공기가 나쁠까,"<function_PG>();<function_IO>(timeframe=9, location=""0"")<end>",0,
3SLEKP,청정 켜봐 밝기를 2로 조정해줘,<function_PG>();<function_WN>(brightness=2)<end>,0,
3VLZCC,고정 공청 기능 켜줘 그러고 나서 팔로미,<function_PG>();<function_CK>()<end>,0,
3WLTWN,고정 청정 온 그 후에 방콕의 수요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=5, location=방콕)<end>",0,
3WNEOY,공기 청정 켜줘,<function_PG>()<end>,0,
3YJCZK,청정 켜봐 그 다음에 티티에스 볼륨을 100프로로 바꿔줘,<function_PG>();<function_ZV>(volume=5)<end>,0,
3YTSZD,고정 공기 청정 실행해줘 그러고 나서 스캐닝 청정 상태 좀 알려줘,<function_PG>();<function_IH>(get=True)<end>,0,
3ZMJQB,고정 공청 기능 켜줘 다음으로 내일 여기에 공기가 나쁠까,"<function_PG>();<function_IO>(timeframe=1, location=""0"")<end>",0,
4AAWUB,고정 공청 기능 켜줘 다음으로 스캐닝 청정 시작하세요,<function_PG>();<function_IH>(scan=True)<end>,0,
4BGQLY,청정 켜봐 그 후에 나무 남성으로 지정해주실래요,<function_PG>();<function_GQ>(gender=2)<end>,0,
4BOWDR,고정 공청 기능 켜줘 이어서 제 방향으로 돌려주실래요,<function_PG>();<function_FR>()<end>,0,
4DKGQB,고정 공청 기능 켜줘 그 후에 현재 사용 중인 온도 표시가 어떤 건지 말해줘,<function_PG>();<function_EW>(get=True)<end>,0,
4FIMOQ,청정 켜봐 또 지금 음소거 모드 해제해줘,<function_PG>();<function_MV>(mute=False)<end>,0,
4FSVLO,고정 공기 청정 가동 시작해줘 그리고 화요일 날씨 전망을 표시해줄 수 있어,"<function_PG>();<function_MO>(timeframe=4, location=""0"")<end>",0,
4FWELN,고정 청정 온 이어서 일요일 해남 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=9, location=해남)<end>",0,
4IOTZL,고정 청정 온 또 방해 금지 모드 중단할게,<function_PG>();<function_BS>(enable=False)<end>,0,
4IXAHT,고정 공청 기능 켜줘 혈압 상태를 체크해주실래요,<function_PG>();<function_GV>()<end>,0,
4JKCXD,청정 켜봐 그 다음에 목요일 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=6, location=""0"")<end>",0,
4JWDGF,고정 공기 청정 가동 시작해줘 그리고 강남의 금요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=7, location=강남)<end>",0,
4KYLCD,고정 공기 청정 실행해줘 그 후에 음소거 꺼,<function_PG>();<function_MV>(mute=False)<end>,0,
4LQDRZ,내일 비 온다던데 그리고 고정 공기 청정 가동 시작해줘,<function_MR>();<function_PG>()<end>,1,
4LTIRN,고정 공기 청정 실행해줘 다음으로 수요일 두바이 날씨 비 와,"<function_PG>();<function_MO>(timeframe=5, location=두바이)<end>",0,
4NKPCR,고정 공청 기능 켜줘 다음으로 중풍 바람 세기로 해줘,<function_PG>();<function_NK>(speed=2)<end>,0,
4PDBZF,고정 공기 청정 가동 시작해줘 그 후에 에이아이 모드에서 실외 대기질 정보 연동 꺼주세요,"<function_PG>();<function_BP>(enable=1, type=0)<end>",0,
4RIEOE,청정 켜봐 그러고 나서 프라이버시 기능 켜줘,<function_PG>();<function_GN>(enable=True)<end>,0,
4RRTAD,고정 공청 기능 켜줘 또 센서 민감도가 높음으로 설정되어 있나요,<function_PG>();<function_QD>(get=True)<end>,0,
4SMEMT,고정 공청 기능 켜줘 또 매너모드 꺼주세요,<function_PG>();<function_ZX>(enable=False)<end>,0,
4VEJLY,고정 공청 기능 켜줘 공기질 상태 표시 작동해,<function_PG>();<function_SC>(enable=True)<end>,0,
4VLHKK,고정 공기 청정 실행해줘 일요일 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=9, location=""0"")<end>",0,
4VNDJH,고정 공기 청정 실행해줘 다음으로 토요일 천호동 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=8, location=천호동)<end>",0,
4WGQID,고정 공기 청정 가동 시작해줘 또 금요일 미세먼지 농도 어때,"<function_PG>();<function_IO>(timeframe=7, location=""0"")<end>",0,
4WSPPZ,고정 공기 청정 실행해줘 주말 기기 근처 공기 상태는 어때,"<function_PG>();<function_IO>(timeframe=2, location=""0"")<end>",0,
4YFSZB,고정 공기 청정 가동 시작해줘 그러고 나서 지금 상세 공기질 테마 사용 중이야,<function_PG>();<function_HG>(get=True)<end>,0,
4YWPSM,고정 공기 청정 가동 시작해줘 그 다음에 공기질 상태 표시 작동 중인지 알려줘,<function_PG>();<function_SC>(get=True)<end>,0,
4ZDIHB,고정 청정 온 다음으로 에이아이 모드의 외부 대기 상태 연동 꺼줘,"<function_PG>();<function_BP>(enable=1, type=0)<end>",0,
5AEMBU,고정 청정 온 그러고 나서 청정 기능 재시작해줘,<function_PG>();<function_YA>(move=2)<end>,0,
5AFRLG,고정 공기 청정 가동 시작해줘 그리고 토요일 천호동 미세먼지 어때,"<function_PG>();<function_IO>(timeframe=8, location=천호동)<end>",0,
5BTXWQ,고정 청정 온 그러고 나서 목요일 싱가포르 공기질 걱정해야 할까,"<function_PG>();<function_IO>(timeframe=6, location=싱가포르)<end>",0,
5DOQXG,고정 공청 기능 켜줘 그러고 나서 실외 대기질 정보 연동 옵션을 활성화해주실래요,"<function_PG>();<function_BP>(enable=0, type=0)<end>",0,
5EJMJD,고정 공기 청정 가동 시작해줘 그리고 배터리 잔량 확인해줘,<function_PG>();<function_JJ>()<end>,0,
5FMBZH,고정 공기 청정 가동 시작해줘 그리고 룩앳미,<function_PG>();<function_FR>()<end>,0,
5GQDHT,고정 공기 청정 가동 시작해줘 그리고 에러 띄워줘,<function_PG>();<function_XO>()<end>,0,
5HAMCW,고정 공청 기능 켜줘 이어서 센서 민감도가 높음으로 설정되어 있나요,<function_PG>();<function_QD>(get=True)<end>,0,
5HDBHN,청정 켜봐 이어서 에이아이 모드의 공간별 공기질 데이터 연동 상태로 바꿔줘,"<function_PG>();<function_BP>(enable=0, type=1)<end>",0,
5IFVPR,청정 켜봐 그 다음에 해운대의 일요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=9, location=해운대)<end>",0,
5IVTSK,고정 청정 온 다음으로 바람 강도 자동으로 맞춰줘,<function_PG>();<function_NK>(speed=0)<end>,0,
5JHTYF,고정 청정 온 그리고 화요일 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=4, location=""0"")<end>",0,
5JWXNZ,고정 공청 기능 켜줘 전체 구역 청정 부탁할게,<function_PG>();<function_EF>(action=1)<end>,0,
5KNHTP,고정 공청 기능 켜줘 이어서 내일 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=1, location=""0"")<end>",0,
5LIOVM,고정 공기 청정 가동 시작해줘 그리고 월요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=3, location=""0"")<end>",0,
5MLSMO,고정 청정 온 그 다음에 기기 언어 영어로 바꿔줄래,<function_PG>();<function_HS>(type=2)<end>,0,
5OQREM,고정 공기 청정 가동 시작해줘 다음으로 금요일 날씨 추울까,"<function_PG>();<function_MO>(timeframe=7, location=""0"")<end>",0,
5PWDHP,고정 청정 온 그리고 온도 단위를 화씨로 바꿔줄래요,<function_PG>();<function_EW>(type=1)<end>,0,
5QOEMM,고정 청정 온 이어서 일요일 옥수동 공기질 걱정해야 할까,"<function_PG>();<function_IO>(timeframe=9, location=옥수동)<end>",0,
5RQNFI,청정 켜줘,<function_PG>()<end>,0,
5TMJBY,고정 공청 기능 켜줘 그러고 나서 지금 에이아이 모드 전부 작동시켜줄래,"<function_PG>();<function_BP>(enable=0, type=2)<end>",0,
5VJATY,고정 공기 청정 실행해줘 다음으로 스캐닝 공청 기능 중지해줘,<function_PG>();<function_IH>(scan=False)<end>,0,
5WYVKR,청정 켜봐 그 다음에 뉴델리의 목요일 날씨 정보 표시해줄래,"<function_PG>();<function_MO>(timeframe=6, location=뉴델리)<end>",0,
5ZPGEN,청정 켜봐 그 후에 밝기 몇이야,<function_PG>();<function_WN>(get=True)<end>,0,
5ZXHNU,청정 켜봐 그 다음에 현재 필터 사용량을 보여줄 수 있어,<function_PG>();<function_UJ>()<end>,0,
6AMSYQ,고정 공청 기능 켜줘 그 후에 테마를 상세 공기질로 변경해주실래요,<function_PG>();<function_HG>(theme=2)<end>,0,
6BJCQB,고정 공기 청정 가동 시작해줘 그리고 고스트 모드 설정해주세요,<function_PG>();<function_BS>(enable=True)<end>,0,
6BPPCB,고정 공기 청정 가동 시작해줘 공기질 모니터링 기능 켜줘,"<function_PG>();<function_IO>(timeframe=0, location=""0"")<end>",0,
6BSHPE,고정 공기 청정 가동 시작해줘 이어서 엘이디 눈 밝기 일단계로 높여줄래,<function_PG>();<function_WN>(brightness=1)<end>,0,
6CRXIM,고정 공청 기능 켜줘 그러고 나서 팬 풍량 오토로 설정해줘,<function_PG>();<function_NK>(speed=0)<end>,0,
6FHUMM,고정 청정 온 그 다음에 실시간 공기질 모니터링 보여주세요,"<function_PG>();<function_IO>(timeframe=0, location=""0"")<end>",0,
6FJXQN,고정 청정 온 다음으로 충전량 얼마야,<function_PG>();<function_JJ>()<end>,0,
6FLXOA,고정 공청 기능 켜줘 그리고 엘이디 불빛을 60퍼센트로 올려죠,<function_PG>();<function_WN>(brightness=3)<end>,0,
6FVSQW,고정 공청 기능 켜줘 그 다음에 감지 민감도를 높음으로 조정해줄 수 있어,<function_PG>();<function_QD>(type=2)<end>,0,
6GBIMS,고정 공청 기능 켜줘 또 홍보실으로 가서 청정해 줘,<function_PG>();<function_FF>(position=홍보실)<end>,0,
6GTMPX,고정 공청 기능 켜줘 이어서 주말 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=2, location=""0"")<end>",0,
6GUUOG,청정 켜봐 그리고 목요일 날씨 추울까,"<function_PG>();<function_MO>(timeframe=6, location=""0"")<end>",0,
6HWZRF,고정 공기 청정 실행해줘 다음으로 수요일 이스탄불 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=5, location=이스탄불)<end>",0,
6ICLTQ,청정 켜봐 그 다음에 프라이버시 중지해주실 수 있나요,<function_PG>();<function_GN>(enable=False)<end>,0,
6NHYHT,고정 공기 청정 실행해줘 그 후에 밝기를 일로 조정해줘,<function_PG>();<function_WN>(brightness=1)<end>,0,
6NMNXN,고정 공기 청정 가동 시작해줘 그리고 전체 공간 청정 해줘,<function_PG>();<function_EF>(action=1)<end>,0,
6NUNVW,청정 켜봐 음소거 상태를 만들어주시겠습니까,<function_PG>();<function_MV>(mute=True)<end>,0,
6OMCIP,고정 공기 청정 실행해줘 다음으로 터치음을 팔십퍼로 설정해줘,<function_PG>();<function_ZV>(volume=4)<end>,0,
6OTIMH,고정 청정 온 그 후에 금요일 노원구 날씨 몇 도야,"<function_PG>();<function_MO>(timeframe=7, location=노원구)<end>",0,
6QBPAS,고정 공기 청정 가동 시작해줘 그러고 나서 공기청정 언제 끝났니,<function_PG>();<function_CE>()<end>,0,
6QRXMO,청정 켜봐 또 소리 볼륨을 삼으로 맞춰줘,<function_PG>();<function_ZV>(volume=3)<end>,0,
6RCSNF,고정 공기 청정 가동 시작해줘 그러고 나서 미디음을 4단계로 조정해줄래,<function_PG>();<function_ZV>(volume=4)<end>,0,
6RHZJK,고정 공기 청정 가동 시작해줘 그 후에 엘이디 눈 조명을 3로 맞출 수 있니,<function_PG>();<function_WN>(brightness=3)<end>,0,
6RUIXS,고정 공청 기능 켜줘 다음으로 밝기를 2로 조정해줘,<function_PG>();<function_WN>(brightness=2)<end>,0,
6SEZGC,고정 공청 기능 켜줘 그 후에 이동 다시 시작해줘,<function_PG>();<function_YA>(move=2)<end>,0,
6SIVUW,청정 켜봐 그러고 나서 풍속 약풍으로 조정해줘,<function_PG>();<function_NK>(speed=1)<end>,0,
6SMLQF,고정 공기 청정 실행해줘 이어서 감지 감도를 높게 설정해줘,<function_PG>();<function_QD>(type=2)<end>,0,
6TBVSG,청정 켜봐 그리고 여기로 따라와주세요,<function_PG>();<function_CK>()<end>,0,
6UXZYL,고정 공기 청정 실행해줘 그 다음에 토요일 노량진 TVOC 농도는 얼마야,"<function_PG>();<function_IO>(timeframe=8, location=노량진)<end>",0,
6VUKVJ,고정 청정 온 그리고 내일 미세먼지 농도 어때,"<function_PG>();<function_IO>(timeframe=1, location=""0"")<end>",0,
6VYMVT,청정 켜봐 그 다음에 토요일 노량진 날씨 알려줘,"<function_PG>();<function_MO>(timeframe=8, location=노량진)<end>",0,
6VZYVQ,청정 켜봐 그 후에 화요일 기기 근처 공기 상태는 어때,"<function_PG>();<function_IO>(timeframe=4, location=""0"")<end>",0,
6WALHN,고정 공기 청정 실행해줘 다음으로 여성 음성으로 지정해주실래요,<function_PG>();<function_GQ>(gender=1)<end>,0,
6XINXB,고정 공기 청정 가동 시작해줘 그 후에 내일 뉴욕 미세먼지 어때,"<function_PG>();<function_IO>(timeframe=1, location=뉴욕)<end>",0,
6XNXVM,고정 청정 온 그 다음에 주말 여기에 공기가 나쁠까,"<function_PG>();<function_IO>(timeframe=2, location=""0"")<end>",0,
