Index,Query,LLM Output,call_order,raw_args
3RFOVW,스테이션 위치로 복귀하세요 그리고 현재 부산 날씨 알려주세요,"<function_KI>();<function_MO>(timeframe=0, location=부산)<end>",0,
3TAJRY,이제 그만 복귀해 그 다음에 미디음의 볼륨 몇 단계인지 말해줄래,<function_KI>();<function_ZV>(get=True)<end>,0,
3WLIAA,처음 위치로 돌아가주면 좋겠어 그리고 일요일 송도 공기질 걱정해야 할까,"<function_KI>();<function_IO>(timeframe=9, location=송도)<end>",0,
3WZTJF,충전하러 복귀 또 이 옷 어때 괜찮아 보여,<function_KI>();<function_MR>()<end>,0,
3XILQZ,처음 위치로 돌아가주면 좋겠어 다음으로 목요일 카트만두 TVOC 농도는 얼마야,"<function_KI>();<function_IO>(timeframe=6, location=카트만두)<end>",0,
3XTTSO,충전하러 복귀 다음으로 화요일 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=4, location=""0"")<end>",0,
4DIWAI,충전 위치로 되돌아가 그 다음에 기기 언어 영어로 바꿔줄래,<function_KI>();<function_HS>(type=2)<end>,0,
4DPRVU,충전 위치로 되돌아가 그 후에 엘이디 눈 밝기 몇 퍼인지 말해줄래,<function_KI>();<function_WN>(get=True)<end>,0,
4FCNQZ,스테이션 위치로 복귀하세요 그리고 내일 제주시 TVOC 농도는 얼마야,"<function_KI>();<function_IO>(timeframe=1, location=제주시)<end>",0,
4GSEVB,스테이션 위치로 복귀하세요 이어서 목요일 기기 근처 공기 상태는 어때,"<function_KI>();<function_IO>(timeframe=6, location=""0"")<end>",0,
4HVZXF,충전 위치로 되돌아가 그러고 나서 스캐닝 공기청정 상태가 어떤가요,<function_KI>();<function_IH>(get=True)<end>,0,
4NCHEA,충전하러 복귀 그 다음에 티티에스 볼륨을 이십프로로 바꿔줘,<function_KI>();<function_ZV>(volume=1)<end>,0,
4NGCOW,처음 위치로 돌아가주면 좋겠어 내일 시드니의 공기질 예보를 보여줘,"<function_KI>();<function_IO>(timeframe=1, location=시드니)<end>",0,
4QMMFC,충전 위치로 되돌아가 그 후에 유비이 에리디 빛 켜주라,<function_KI>();<function_NN>(enable=True)<end>,0,
4ROOSF,이제 그만 복귀해 그 다음에 공기질 모니터링 기능 켜줘,"<function_KI>();<function_IO>(timeframe=0, location=""0"")<end>",0,
4RUKYN,스테이션 위치로 복귀하세요 다음으로 음소거 모드로 지정해줘,<function_KI>();<function_MV>(mute=True)<end>,0,
4SCNPI,충전 위치로 되돌아가 이어서 약풍 바람 세기로 해줘,<function_KI>();<function_NK>(speed=1)<end>,0,
4SLBLN,충전 위치로 되돌아가 그 다음에 엘이디 눈 밝기 일단계로 높여줄래,<function_KI>();<function_WN>(brightness=1)<end>,0,
4TJYJX,이제 그만 복귀해 그 다음에 약풍 바람 세기로 해줘,<function_KI>();<function_NK>(speed=1)<end>,0,
4ULIEM,충전 위치로 되돌아가 그 다음에 금요일 시에나 대기질을 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=7, location=시에나)<end>",0,
4UNVSX,스테이션 위치로 복귀하세요 그 후에 음소거 비활성화 해줘,<function_KI>();<function_MV>(mute=False)<end>,0,
4VNVPH,처음 위치로 돌아가주면 좋겠어 이어서 화요일 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=4, location=""0"")<end>",0,
4WNNMF,스테이션 위치로 복귀하세요 그리고 주말 날씨 추울까,"<function_KI>();<function_MO>(timeframe=2, location=""0"")<end>",0,
4XEGJH,스테이션 위치로 복귀하세요 밝기를 100퍼로 설정해줘,<function_KI>();<function_WN>(brightness=5)<end>,0,
4ZTEKJ,충전하러 복귀 그러고 나서 바람 강도 중풍으로 맞춰줘,<function_KI>();<function_NK>(speed=2)<end>,0,
4ZXOXW,처음 위치로 돌아가주면 좋겠어 그리고 스캐닝 기능 시작해주세요,<function_KI>();<function_IH>(scan=True)<end>,0,
5AVSRN,스테이션 위치로 복귀하세요 그러고 나서 월요일 날씨 전망을 표시해줄 수 있어,"<function_KI>();<function_MO>(timeframe=3, location=""0"")<end>",0,
5DROQD,스테이션 위치로 복귀하세요 또 볼륨이 현재 몇 단계인지 궁금해,<function_KI>();<function_ZV>(get=True)<end>,0,
5DUYSV,이제 그만 복귀해 그러고 나서 지금 음소거 모드 해제해줘,<function_KI>();<function_MV>(mute=False)<end>,0,
5FEQVH,이제 그만 복귀해 그리고 목요일 마닐라 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=6, location=마닐라)<end>",0,
5GGTMH,처음 위치로 돌아가주면 좋겠어 그 후에 미디음 볼륨 단계가 어떻게 되는지 알려줘,<function_KI>();<function_ZV>(get=True)<end>,0,
5JFEHV,이제 그만 복귀해 그러고 나서 터치음을 사십퍼로 올려줘,<function_KI>();<function_ZV>(volume=2)<end>,0,
5KOJWT,충전하러 복귀 다음으로 내일 날씨 추울까,"<function_KI>();<function_MO>(timeframe=1, location=""0"")<end>",0,
5LFSMV,이제 그만 복귀해 다음으로 엘씨디 조명을 2로 줄여줄래,<function_KI>();<function_WN>(brightness=2)<end>,0,
5LOLHS,충전 위치로 되돌아가 그러고 나서 월요일 미세먼지 농도 어때,"<function_KI>();<function_IO>(timeframe=3, location=""0"")<end>",0,
5NGBXH,처음 위치로 돌아가주면 좋겠어 주말 몬트리올의 공기질 예보를 보여줘,"<function_KI>();<function_IO>(timeframe=2, location=몬트리올)<end>",0,
5OLRXP,스테이션 위치로 복귀하세요 다음으로 밝기 몇이야,<function_KI>();<function_WN>(get=True)<end>,0,
5OUUEU,스테이션 위치로 복귀하세요 그리고 수요일 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=5, location=""0"")<end>",0,
5QOGDN,충전하러 복귀 그리고 화요일 상하이 날씨 어때,"<function_KI>();<function_MO>(timeframe=4, location=상하이)<end>",0,
5SMBKH,충전 위치로 되돌아가 기기 언어 설정 한국어로 바꿔줘,<function_KI>();<function_HS>(type=1)<end>,0,
5UWOQT,이제 그만 복귀해 다음으로 금요일 인천 대기질을 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=7, location=인천)<end>",0,
5XXWII,스테이션 위치로 복귀하세요 다음으로 음량을 20퍼센트로 올려줘,<function_KI>();<function_ZV>(volume=1)<end>,0,
5YKLCI,스테이션 위치로 복귀하세요 이어서 음소거 꺼,<function_KI>();<function_MV>(mute=False)<end>,0,
5YOGMZ,처음 위치로 돌아가주면 좋겠어 그리고 주말 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=2, location=""0"")<end>",0,
6BQFEV,충전 위치로 되돌아가 그리고 주말 날씨 전망을 표시해줄 수 있어,"<function_KI>();<function_MO>(timeframe=2, location=""0"")<end>",0,
6FFPNT,점심 먹었어 또 충전 위치로 되돌아가,<function_MR>();<function_KI>()<end>,1,
6FZUJM,이제 그만 복귀해 그리고 내일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=1, location=""0"")<end>",0,
6INUBW,이제 그만 복귀해 다음으로 화요일 날씨 전망을 표시해줄 수 있어,"<function_KI>();<function_MO>(timeframe=4, location=""0"")<end>",0,
6LSCHT,이제 그만 복귀해 그 후에 유비 살균 에리디 기능 작동 정지해,<function_KI>();<function_NN>(enable=False)<end>,0,
6MHGNJ,스테이션 위치로 복귀하세요 그 다음에 스캐닝 정지해,<function_KI>();<function_IH>(scan=False)<end>,0,
6RBWKL,이제 그만 복귀해 지금 배터리 몇 퍼센트야,<function_KI>();<function_JJ>()<end>,0,
6UMGRI,처음 위치로 돌아가주면 좋겠어 그리고 수요일 치앙마이 대기질을 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=5, location=치앙마이)<end>",0,
6VPYTV,충전하러 복귀 그리고 엘이디 눈 밝기를 백퍼로 바꿔줘,<function_KI>();<function_WN>(brightness=5)<end>,0,
6VWTPW,충전하러 복귀 다음으로 유뷔 살균 엘이디 기능 시작,<function_KI>();<function_NN>(enable=True)<end>,0,
6WXQCD,처음 위치로 돌아가주면 좋겠어 그 후에 공기질 상태 표시 작동 정지해,<function_KI>();<function_SC>(enable=False)<end>,0,
6XOVKU,충전하러 복귀 이어서 음소거 모드로 지정해줘,<function_KI>();<function_MV>(mute=True)<end>,0,
7AXARO,충전 위치로 되돌아가 다음으로 현재 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=0, location=""0"")<end>",0,
7BDFPX,충전 위치로 되돌아가 화요일 쿠알라룸푸르 공기질 걱정해야 할까,"<function_KI>();<function_IO>(timeframe=4, location=쿠알라룸푸르)<end>",0,
7CDFLT,충전하러 복귀 스캐닝 청정 시작하세요,<function_KI>();<function_IH>(scan=True)<end>,0,
7COGZH,처음 위치로 돌아가주면 좋겠어 그리고 엘씨디 디스플레이 밝기 사로 바꿔,<function_KI>();<function_WN>(brightness=4)<end>,0,
7LLIVM,고정 공청 기능 켜줘 다음으로 스테이션 위치로 복귀하세요,<function_PG>();<function_KI>()<end>,1,
7MHJQN,이제 그만 복귀해 그리고 중풍 바람 세기로 해줘,<function_KI>();<function_NK>(speed=2)<end>,0,
7MNRAZ,충전하러 복귀 그러고 나서 수요일 아부다비 공기질 걱정해야 할까,"<function_KI>();<function_IO>(timeframe=5, location=아부다비)<end>",0,
7MTGTA,이제 그만 복귀해 그리고 목요일 공기질 상태 알려줘,"<function_KI>();<function_IO>(timeframe=6, location=""0"")<end>",0,
7NERCO,처음 위치로 돌아가주면 좋겠어 또 어디로 여행 가고 싶어,<function_KI>();<function_MR>()<end>,0,
7PTWMD,처음 위치로 돌아가주면 좋겠어 그 후에 소리 볼륨을 삼으로 맞춰줘,<function_KI>();<function_ZV>(volume=3)<end>,0,
7QTTCR,이제 그만 복귀해 이어서 내일 제주시 날씨 몇 도야,"<function_KI>();<function_MO>(timeframe=1, location=제주시)<end>",0,
7QZRQH,충전하러 복귀 그리고 토요일 강서구 대기질을 화면에 보여줘,"<function_KI>();<function_IO>(timeframe=8, location=강서구)<end>",0,
7REOUN,처음 위치로 돌아가주면 좋겠어 그리고 토요일 대구 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=8, location=대구)<end>",0,
7SFWTV,충전 해줘,<function_KI>()<end>,0,
7TLMRI,스테이션 위치로 복귀하세요 그 후에 토요일 기기 근처 공기 상태는 어때,"<function_KI>();<function_IO>(timeframe=8, location=""0"")<end>",0,
7TMLUL,충전 위치로 되돌아가 그리고 목요일 기기 근처 공기 상태는 어때,"<function_KI>();<function_IO>(timeframe=6, location=""0"")<end>",0,
7UAHIG,처음 위치로 돌아가주면 좋겠어 이어서 화요일 리마 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=4, location=리마)<end>",0,
7UNZCZ,충전 위치로 되돌아가 다음으로 내일 런던 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=1, location=런던)<end>",0,
7VWOIS,충전 위치로 되돌아가 그 다음에 스캐닝 기능 시작해주세요,<function_KI>();<function_IH>(scan=True)<end>,0,
7WFIVY,스테이션 위치로 복귀하세요 그 후에 공기질 상태 표시 작동해,<function_KI>();<function_SC>(enable=True)<end>,0,
7XKVVX,처음 위치로 돌아가주면 좋겠어 이어서 전체 이동 공기청정 할래,<function_KI>();<function_EF>(action=1)<end>,0,
8HLWCL,충전 위치로 되돌아가 그리고 음소거 아닌 상태야,<function_KI>();<function_MV>(get=True)<end>,0,
8IHSMB,충전하러 복귀 또 엘씨디 화면 밝기를 최대 밝기로 설정해줘,<function_KI>();<function_WN>(brightness=5)<end>,0,
8LTKTB,처음 위치로 돌아가주면 좋겠어 그 다음에 월요일 베를린 공기질 때문에 마스크 필요할까,"<function_KI>();<function_IO>(timeframe=3, location=베를린)<end>",0,
8OTNBI,스테이션 위치로 복귀하세요 그 다음에 주말 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=2, location=""0"")<end>",0,
8OUDLJ,처음 위치로 돌아가주면 좋겠어 그리고 풍속 몇으로 맞춰져 있는지 확인해줘,<function_KI>();<function_NK>(get=True)<end>,0,
8RUEJP,충전 위치로 되돌아가 그 다음에 스캐닝 공청 기능 중지해줘,<function_KI>();<function_IH>(scan=False)<end>,0,
8RXERT,스테이션 위치로 복귀하세요 그리고 미디음을 3단계로 조정해줄래,<function_KI>();<function_ZV>(volume=3)<end>,0,
8STTHT,충전하러 복귀 그 다음에 소리 볼륨을 사로 맞춰줘,<function_KI>();<function_ZV>(volume=4)<end>,0,
8TGZOR,스테이션 위치로 복귀하세요 또 강릉의 날씨 정보 표시해줄래,"<function_KI>();<function_MO>(timeframe=0, location=강릉)<end>",0,
8UNYDR,충전하러 복귀 그리고 내일 시드니 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=1, location=시드니)<end>",0,
8VBAPD,충전 위치로 되돌아가 그리고 엘이디 밝기를 이십퍼로 설정해줘,<function_KI>();<function_WN>(brightness=1)<end>,0,
8VDZBY,처음 위치로 돌아가주면 좋겠어 그 후에 토요일 용산구 공기질 걱정해야 할까,"<function_KI>();<function_IO>(timeframe=8, location=용산구)<end>",0,
8VZNAM,충전하러 복귀 그 다음에 현재 공기질 아이 표시가 작동하고 있나요,<function_KI>();<function_SC>(get=True)<end>,0,
8WNYAV,충전하러 복귀 또 티티에스 볼륨을 팔십프로로 바꿔줘,<function_KI>();<function_ZV>(volume=4)<end>,0,
8YGHBO,처음 위치로 돌아가주면 좋겠어 수요일 카사블랑카 공기질 걱정해야 할까,"<function_KI>();<function_IO>(timeframe=5, location=카사블랑카)<end>",0,
8YVUTX,충전하러 복귀 또 엘이디 아이 밝기 이단계로 높일래,<function_KI>();<function_WN>(brightness=2)<end>,0,
8ZIAWZ,처음 위치로 돌아가주면 좋겠어 이어서 주말 빈 미세먼지 어때,"<function_KI>();<function_IO>(timeframe=2, location=빈)<end>",0,
9FHAMR,충전 위치로 되돌아가 그러고 나서 주말 프라하 날씨 어때,"<function_KI>();<function_MO>(timeframe=2, location=프라하)<end>",0,
9FUNEX,스테이션 위치로 복귀하세요 이어서 수요일 날씨 몇 도야,"<function_KI>();<function_MO>(timeframe=5, location=""0"")<end>",0,
9JQDBG,이제 그만 복귀해 또 수요일 미세먼지 농도 어때,"<function_KI>();<function_IO>(timeframe=5, location=""0"")<end>",0,
9JRXVA,이제 그만 복귀해 이어서 금요일 수원 공기질 걱정해야 할까,"<function_KI>();<function_IO>(timeframe=7, location=수원)<end>",0,
9KKKER,충전 위치로 되돌아가 그리고 월요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=3, location=""0"")<end>",0,
9KLKLN,충전 위치로 되돌아가 다음으로 엘이디 눈 조명을 3로 맞출 수 있니,<function_KI>();<function_WN>(brightness=3)<end>,0,
9LCQLR,스테이션 위치로 복귀하세요 그리고 내일 런던 날씨 어때,"<function_KI>();<function_MO>(timeframe=1, location=런던)<end>",0,
9MLPRZ,이제 그만 복귀해 그 다음에 자동 바람으로 설정해줘,<function_KI>();<function_NK>(speed=0)<end>,0,
9OQEXT,이제 그만 복귀해 그리고 음소거 해,<function_KI>();<function_MV>(mute=True)<end>,0,
9PANRF,충전하러 복귀 이어서 강릉 대기질 지수가 몇인지 알려줘,"<function_KI>();<function_IO>(timeframe=0, location=강릉)<end>",0,
9PISUQ,충전하러 복귀 다음으로 주말 몬트리올 날씨 알려줘,"<function_KI>();<function_MO>(timeframe=2, location=몬트리올)<end>",0,
9QHDAC,충전하러 복귀 이어서 토요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=8, location=""0"")<end>",0,
9RHEXD,처음 위치로 돌아가주면 좋겠어 이어서 목요일 후쿠오카 날씨 몇 도야,"<function_KI>();<function_MO>(timeframe=6, location=후쿠오카)<end>",0,
9RILZR,스테이션 위치로 복귀하세요 그리고 옆방 공기 청정이 필요해,<function_KI>();<function_FF>(position=옆방)<end>,0,
9ROFGL,충전하러 복귀 그리고 내일 날씨 몇 도야,"<function_KI>();<function_MO>(timeframe=1, location=""0"")<end>",0,
9SRRDW,스테이션 위치로 복귀하세요 이어서 터보 바람 세기로 해줘,<function_KI>();<function_NK>(speed=4)<end>,0,
9XJTVX,충전하러 복귀 그 다음에 엘이디 눈 밝기 몇 퍼인지 말해줄래,<function_KI>();<function_WN>(get=True)<end>,0,
9YMJSH,충전 위치로 되돌아가 이어서 일요일 여기에 공기가 나쁠까,"<function_KI>();<function_IO>(timeframe=9, location=""0"")<end>",0,
9YSFEN,충전 위치로 되돌아가 목요일 후쿠오카 공기질 걱정해야 할까,"<function_KI>();<function_IO>(timeframe=6, location=후쿠오카)<end>",0,
9YVEHR,충전 위치로 되돌아가 그리고 청정 켜봐,<function_KI>();<function_PG>()<end>,0,
9ZNBME,고정 공기 청정 가동 시작해줘 이어서 충전하러 복귀,<function_PG>();<function_KI>()<end>,1,
